,Cellpose,Detectron2,SAM,U-Net
0,0.344522779098129,0.053902557169387175,0.2895555434161676,0.969815931818382
1,0.8498835087000991,0.05716890497838409,0.731388289202564,0.7616726080437668
2,0.6497786137862427,1.0,0.21074320628374088,0.969815931818382
3,0.1506196715606302,0.224197928798476,0.8497154298536248,1.0
4,0.03415861782125119,0.8201967307720377,0.3060303039357849,0.5197370415546618
5,0.4951545345257743,0.4941737329960736,0.6497786137862427,1.0
6,0.18521445816171678,0.022772883690677703,0.4256100315999112,0.12094463242998696
7,0.4715066393374774,0.04048904655771529,0.01688171079491351,1.0
8,0.13882114450720942,0.5948953826127479,1.0,0.36271726273854765
9,1.0,0.9695626924920882,0.005251720201486251,0.909484397742386
