,Unnamed: 0,model(col),data(group),iou,relDelConf,absDelConf,absabsDelConf,iou_std,relDelConf_std,absDelConf_std,absabsDelConf_std
0,0,base,-lc-internallazy,0.0886371667074536,0.8913311268475497,0.3162880624997112,0.3162880624997112,0.0064524307500461,0.0090778087484781,0.0067065429687409,0.0067065429687409
1,1,d2,-lc-internal,0.2856198973746737,0.2251858507884363,0.0611301848956142,0.0611301848956142,0.1608222141684981,0.0468337268969697,0.0149812825520747,0.0149812825520747
2,2,d2,-sc,0.4995104786966255,0.2826004873971833,0.0431584848627049,0.0431584848627049,0.0144174709737686,0.0289397076161819,0.0154544646598727,0.0154544646598727
3,3,cp,-lc-internallazy,0.0825056050002462,0.9042602020723196,0.3209251067705445,0.3209251067705445,0.0021441021371291,0.0047950920174072,0.0083707682291575,0.0083707682291575
4,4,base,-sc,0.2036308623282235,0.7148883826705371,0.104908261067132,0.104908261067132,0.0266841843296355,0.0891097064698541,0.0289412897337549,0.0289412897337549
5,5,cp,-lc-external,0.685861421656397,0.1816259381388031,0.1024682680280569,0.1024682680280569,0.0310818720310042,0.06943304080333,0.0936686144679208,0.0790026694046485
6,6,d2,-lc-internallazy,0.5916896636106512,0.1663998834569167,0.0588922291663778,0.0588922291663778,0.0135578054982263,0.0155754797462804,0.0036751302083424,0.0036751302083424
7,7,base,-lc-external,0.1093603249255143,0.8578303337281574,0.5103423773944101,0.5103423773944101,0.071773216903233,0.0770285719236694,0.2564896785484342,0.2564896785484342
8,8,d2,-lc-external,0.4889448315586908,0.3681111733919636,0.2745547247368158,0.2745547247368158,0.2024527083594888,0.2385007261410724,0.2349583599580715,0.23413341495312
9,9,cp,-lc-internal,0.0149978224443025,0.9607494653903816,0.2587978281247809,0.2587978281247809,0.0033233902628995,0.0086030190491259,0.0124283854166581,0.0124283854166581
10,10,base,-lc-internal,0.0560192976550319,0.861205050918756,0.2321620859372809,0.2321620859372809,0.0178104972280802,0.0246822482493205,0.0157104492187413,0.0157104492187413
11,11,cp,-sc,0.0709372721792217,0.8413930034006792,0.1303319467767674,0.1303319467767674,0.041204469481991,0.0776845577278739,0.0509964271906259,0.0509964271906259
12,12,sam,-lc-internallazy,0.9366096842792752,0.0364342844663242,-0.012916852864872,0.012916852864872,0.0018998512331405,0.0014322420795271,0.0001025390624909,0.0001025390624909
13,13,sam,-lc-external,0.9534417582779564,0.011642026654327,-0.0017621042300806,0.0017621042300806,0.1551624178586138,0.036446417847718,0.0046583689918365,0.00453563110463
14,14,sam,-lc-internal,0.4597115574963674,0.0965798959236267,-0.025501488281469,0.025501488281469,0.3724043800979121,0.0480014862898259,0.0119091796874914,0.0119091796874914
15,15,sam,-sc,0.8745898651041067,0.0574999242692946,0.0079539153640069,0.0079539153640069,0.0041446144955965,0.0465590565421147,0.0075861124874275,0.0075861124874275
16,16,unet,-sc,0.2380982871763207,0.4520969429029924,0.0563115610345799,0.0563115610345799,0.1149942942106954,0.3165567153966301,0.0460120688972902,0.0460120688972902
17,17,unet,-lc-internal,0.3490729105590459,0.5528563226816751,-0.1477333404950108,0.1477333404950108,0.1455498654018896,0.1081142227444863,0.023293863932283,0.023293863932283
18,18,unet,-lc-internallazy,0.5072333788011741,0.7196137663739217,-0.2549493235679972,0.2549493235679972,0.0060617806199997,0.0436853147891975,0.0074906412760326,0.0074906412760326
19,19,unet,-lc-external,0.0794777486528856,0.8572340373213181,0.5196689742462992,0.5196689742462992,0.0920788064077477,0.1420741202995,0.2666756781406748,0.2666756781406748
