Step,Method,Value
1,al,65.5
1,al,22.0
1,al,73.0
1,al,93.0
1,al,133.5
1,al,65.5
1,al,42.0
1,al,79.5
1,al,0.0
1,al,35.0
1,rand,31.0
1,rand,104.5
1,rand,66.5
1,rand,14.0
1,rand,37.5
1,rand,87.0
1,rand,24.0
1,rand,79.5
1,rand,22.0
1,rand,101.0
2,al,56.0
2,al,67.0
2,al,117.0
2,al,71.0
2,al,117.0
2,al,135.0
2,al,67.0
2,al,196.0
2,al,145.0
2,al,32.0
2,rand,111.0
2,rand,49.0
2,rand,71.0
2,rand,8.0
2,rand,40.0
2,rand,111.0
2,rand,91.0
2,rand,128.0
2,rand,145.0
2,rand,145.0
3,al,89.0
3,al,99.0
3,al,88.0
3,al,17.0
3,al,11.0
3,al,196.0
3,al,11.0
3,al,216.0
3,al,64.0
3,al,56.0
3,rand,135.0
3,rand,118.0
3,rand,167.0
3,rand,40.0
3,rand,47.0
3,rand,10.0
3,rand,108.0
3,rand,39.0
3,rand,10.0
3,rand,135.0
4,al,206.0
4,al,167.0
4,al,99.0
4,al,108.0
4,al,88.0
4,al,117.0
4,al,88.0
4,al,155.0
4,al,17.0
4,al,39.0
4,rand,145.0
4,rand,68.0
4,rand,177.0
4,rand,121.0
4,rand,128.0
4,rand,177.0
4,rand,79.0
4,rand,32.0
4,rand,99.0
4,rand,68.0
5,al,29.0
5,al,10.0
5,al,50.0
5,al,187.0
5,al,187.0
5,al,88.0
5,al,49.0
5,al,24.0
5,al,23.0
5,al,128.0
5,rand,128.0
5,rand,43.0
5,rand,145.0
5,rand,206.0
5,rand,10.0
5,rand,96.0
5,rand,29.0
5,rand,56.0
5,rand,79.0
5,rand,88.0
6,al,167.0
6,al,89.0
6,al,118.0
6,al,99.0
6,al,167.0
6,al,56.0
6,al,7.0
6,al,43.0
6,al,7.0
6,al,121.0
6,rand,47.0
6,rand,85.0
6,rand,17.0
6,rand,61.0
6,rand,20.0
6,rand,17.0
6,rand,61.0
6,rand,187.0
6,rand,167.0
6,rand,187.0
7,al,20.0
7,al,32.0
7,al,71.0
7,al,43.0
7,al,71.0
7,al,131.0
7,al,23.0
7,al,11.0
7,al,49.0
7,al,111.0
7,rand,8.0
7,rand,117.0
7,rand,50.0
7,rand,155.0
7,rand,187.0
7,rand,47.0
7,rand,145.0
7,rand,155.0
7,rand,79.0
7,rand,29.0
8,al,108.0
8,al,23.0
8,al,91.0
8,al,7.0
8,al,17.0
8,al,108.0
8,al,88.0
8,al,39.0
8,al,29.0
8,al,88.0
8,rand,88.0
8,rand,8.0
8,rand,20.0
8,rand,187.0
8,rand,29.0
8,rand,61.0
8,rand,10.0
8,rand,135.0
8,rand,20.0
8,rand,117.0
9,al,23.0
9,al,17.0
9,al,10.0
9,al,39.0
9,al,23.0
9,al,98.0
9,al,71.0
9,al,128.0
9,al,117.0
9,al,17.0
9,rand,187.0
9,rand,17.0
9,rand,23.0
9,rand,167.0
9,rand,108.0
9,rand,78.0
9,rand,118.0
9,rand,88.0
9,rand,3.0
9,rand,39.0
10,al,7.0
10,al,91.0
10,al,98.0
10,al,56.0
10,al,7.0
10,al,128.0
10,al,91.0
10,al,177.0
10,al,11.0
10,al,91.0
10,rand,88.0
10,rand,108.0
10,rand,131.0
10,rand,88.0
10,rand,47.0
10,rand,39.0
10,rand,50.0
10,rand,108.0
10,rand,40.0
10,rand,30.0
